club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
Playmaker Futbol Academy,Playmaker Futbol Academy,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.playmakerfutbolacademy.com,,,,database
Renegades Soccer Club,Renegades,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.renegadesfootballclub.org/,,,,database
RSL-AZ North,Rsl-Az North,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://sportsrecruits.com/organization/rsl_az/rsl_az_north_09_ea,,,,database
RSL-AZ South,Rsl-Az South,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://rslazsoccer.com/,,,,database
RSL-AZ Southern AZ,Rsl-Az Southern Az,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,,,,,
RSL-AZ West Valley,Rsl-Az West Valley,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://rslazwestvalley.org/,,,,database
SC del Sol,Del Sol,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.mapquest.com/us/arizona/sc-del-sol-448757828,,,,database
Southern Arizona Soccer Club,Southern Arizona,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://rslazsoccer.com/,,,,database
Spartans FC (AZ),Spartans,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.azspartans.com/,,,,database
Epic Soccer Club,Epic,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/4987/clubs,https://epicsoccerclub.com/,,,,database
Freedom SC,Freedom,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/4987/clubs,https://azfreedombaseballclub.com/,,,,database
United Soccer Association,Association,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/4987/clubs,https://www.azsoccerassociation.org/member-clubs/,,,,database
Brookfield Soccer Club,Brookfield,Connecticut Junior Soccer Association,,Connecticut,https://www.google.com/maps/d/kml?forcekml=1&mid=1qbhtLKgowyEMKObPH4xsTwLAvW0ZOkA,https://www.brookfieldsoccer.org/Default.aspx?tabid=1177477,,,,database
AFC Lightning,Lightning,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.afclightning.org/,,,,database
Central Washington Sounders,Central Washington Sounders,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://centralwashingtonsocceracademy.com/,,,,ecnl_directory
